Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2024-02-27,苹果健康,2201.0,56.2,1481.0,0.0
2024-02-28,苹果健康,1609.0,34.3,1070.0,0.0
2024-02-29,苹果健康,1955.0,47.0,1259.0,0.0
2024-03-01,苹果健康,5348.0,138.2,3551.0,0.0
2024-03-02,苹果健康,5252.0,108.6,3325.0,0.0
2024-03-03,苹果健康,3433.0,69.4,2078.0,0.0
2024-03-04,苹果健康,8710.0,242.2,5538.0,0.0
2024-03-05,苹果健康,1981.0,39.7,1204.0,0.0
2024-03-06,苹果健康,1479.0,33.7,973.0,0.0
2024-03-07,苹果健康,1737.0,38.2,1126.0,0.0
2024-03-08,苹果健康,2383.0,57.9,1499.0,0.0
2024-03-09,苹果健康,20004.0,430.7,11084.0,0.0
2024-03-10,苹果健康,17278.0,1042.2,10513.0,0.0
2024-03-11,苹果健康,1969.0,49.4,1285.0,0.0
2024-03-12,苹果健康,2785.0,70.7,1815.0,0.0
2024-03-13,苹果健康,7393.0,193.5,5137.0,0.0
2024-03-14,苹果健康,1634.0,42.0,1090.0,0.0
2024-03-15,苹果健康,1624.0,38.8,1042.0,0.0
2024-03-16,苹果健康,7156.0,163.2,4573.0,0.0
2024-03-17,苹果健康,17441.0,435.7,10795.0,0.0
2024-03-18,苹果健康,1291.0,32.7,813.0,0.0
2024-03-19,苹果健康,1360.0,30.8,884.0,0.0
2024-03-20,苹果健康,2139.0,41.7,1349.0,0.0
2024-03-21,苹果健康,1578.0,36.4,1015.0,0.0
2024-03-22,苹果健康,2095.0,47.5,1366.0,0.0
2024-03-23,苹果健康,7059.0,174.1,4619.0,0.0
2024-03-24,苹果健康,25549.0,681.8,17040.0,0.0
2024-03-25,苹果健康,2417.0,57.9,1671.0,0.0
2024-03-26,苹果健康,4185.0,99.8,2741.0,0.0
2024-03-27,苹果健康,2026.0,53.5,1380.0,0.0
2024-03-28,苹果健康,2120.0,50.6,1404.0,0.0
2024-03-29,苹果健康,3778.0,105.4,2626.0,0.0
2024-03-30,苹果健康,7173.0,177.3,4641.0,0.0
2024-03-31,苹果健康,6437.0,152.8,4163.0,0.0
2024-04-01,苹果健康,1518.0,35.2,998.0,0.0
2024-04-02,苹果健康,2121.0,51.1,1426.0,0.0
2024-04-03,苹果健康,1772.0,40.5,1143.0,0.0
2024-04-04,苹果健康,6159.0,128.8,3746.0,0.0
2024-04-05,苹果健康,5785.0,142.9,3788.0,0.0
2024-04-06,苹果健康,18439.0,696.7,11810.0,0.0
2024-04-07,苹果健康,1925.0,48.2,1320.0,0.0
2024-04-08,苹果健康,2105.0,44.3,1341.0,0.0
2024-04-09,苹果健康,1571.0,36.2,1012.0,0.0
2024-04-10,苹果健康,1856.0,42.7,1229.0,0.0
2024-04-11,苹果健康,2677.0,72.6,1834.0,0.0
2024-04-12,苹果健康,3147.0,82.8,2183.0,0.0
2024-04-13,苹果健康,11239.0,295.2,7479.0,0.0
2024-04-14,苹果健康,17068.0,455.7,11663.0,0.0
2024-04-15,苹果健康,15934.0,476.3,11007.0,0.0
2024-04-16,苹果健康,6391.0,206.1,4398.0,0.0
2024-04-17,苹果健康,7213.0,235.1,5192.0,0.0
2024-04-18,苹果健康,9261.0,288.5,6348.0,0.0
2024-04-19,苹果健康,3362.0,78.0,2193.0,0.0
2024-04-20,苹果健康,10520.0,267.4,7047.0,0.0
2024-04-21,苹果健康,16469.0,414.8,10802.0,0.0
2024-04-22,苹果健康,1831.0,36.7,1252.0,0.0
2024-04-23,苹果健康,5196.0,140.1,3527.0,0.0
2024-04-24,苹果健康,8510.0,213.4,5793.0,0.0
2024-04-25,苹果健康,11673.0,386.5,8262.0,0.0
2024-04-26,苹果健康,14513.0,483.6,10069.0,0.0
2024-04-27,苹果健康,10855.0,332.5,7299.0,0.0
2024-04-28,苹果健康,3707.0,83.9,2352.0,0.0
2024-04-29,苹果健康,18012.0,649.8,12993.0,0.0
2024-04-30,苹果健康,1739.0,40.1,1163.0,0.0
2024-05-01,苹果健康,9836.0,222.1,5954.0,0.0
2024-05-02,苹果健康,2839.0,58.4,1730.0,0.0
2024-05-03,苹果健康,5255.0,100.3,3195.0,0.0
2024-05-04,苹果健康,13030.0,297.5,7843.0,0.0
2024-05-05,苹果健康,10484.0,218.2,6444.0,0.0
2024-05-06,苹果健康,2224.0,52.1,1490.0,0.0
2024-05-07,苹果健康,12779.0,328.4,8720.0,0.0
2024-05-08,苹果健康,16754.0,464.3,10762.0,0.0
2024-05-09,苹果健康,8215.0,286.0,5771.0,0.0
2024-05-10,苹果健康,11269.0,314.7,7665.0,0.0
2024-05-11,苹果健康,12394.0,333.9,8404.0,0.0
2024-05-12,苹果健康,12979.0,318.3,8432.0,0.0
2024-05-13,苹果健康,8006.0,246.4,5590.0,0.0
2024-05-14,苹果健康,3954.0,102.5,2698.0,0.0
2024-05-15,苹果健康,4845.0,149.8,3329.0,0.0
2024-05-16,苹果健康,6692.0,188.2,4711.0,0.0
2024-05-17,苹果健康,5854.0,181.5,4048.0,0.0
2024-05-18,苹果健康,9573.0,234.6,6172.0,0.0
2024-05-19,苹果健康,7722.0,180.2,5023.0,0.0
2024-05-20,苹果健康,2049.0,46.9,1290.0,0.0
2024-05-21,苹果健康,1734.0,40.9,1146.0,0.0
2024-05-22,苹果健康,2030.0,45.1,1333.0,0.0
2024-05-23,苹果健康,7006.0,192.7,4938.0,0.0
2024-05-24,苹果健康,7018.0,163.6,4720.0,0.0
2024-05-25,苹果健康,11661.0,319.8,7692.0,0.0
2024-05-26,苹果健康,3671.0,72.7,2311.0,0.0
2024-05-27,苹果健康,1876.0,44.5,1244.0,0.0
2024-05-28,苹果健康,7452.0,203.3,5048.0,0.0
2024-05-29,苹果健康,3806.0,87.4,2546.0,0.0
2024-05-30,苹果健康,2233.0,48.4,1451.0,0.0
2024-05-31,苹果健康,1742.0,44.1,1168.0,0.0
2024-06-01,苹果健康,7963.0,199.9,5221.0,0.0
2024-06-02,苹果健康,6772.0,145.1,4250.0,0.0
